1 10/14/2023 12:16:33 PM	 ……
1 10/14/2023 12:16:45 PM	 you had to be good at SOMETHINH  
1 10/14/2023 12:20:43 PM	 i remembered i can’t get reported here 
1 10/14/2023 12:20:47 PM	 KILL YOURSELF 
0 10/14/2023 12:21:34 PM	 Suck my clit
1 10/14/2023 12:23:43 PM	 ok let’s play something i can win now
0 10/14/2023 12:24:21 PM	 Absolutely not
1 10/14/2023 12:24:46 PM	 come on ***** let’s play chess 
1 10/14/2023 12:25:12 PM	 i don’t even know how to play darts 
0 10/14/2023 12:26:26 PM	 Mateo I don’t know how to play chess
0 10/14/2023 19:56:46 PM	 Mateo me and jamal miss you
1 10/14/2023 20:01:21 PM	 hi
1 10/14/2023 20:01:23 PM	 sorry
1 10/14/2023 20:01:29 PM	 i’m watching a movie rn 
0 10/14/2023 20:01:49 PM	 Okay
0 10/14/2023 20:01:52 PM	 Have fun
0 10/14/2023 20:02:01 PM	 We’re talking about you 😢
1 10/14/2023 20:07:51 PM	 we’re also talking about you 
0 10/14/2023 20:08:06 PM	 What are u saying 
1 10/14/2023 20:12:14 PM	 Zic was just telling me how you’re lazy and should get a job 
0 10/14/2023 20:12:50 PM	 Tell him to go get *****
1 10/14/2023 20:19:22 PM	 raped? 
1 10/14/2023 20:19:27 PM	 that’s not very nice Adri. 
1 10/14/2023 20:33:16 PM	 drive 
0 10/14/2023 20:33:49 PM	 Drive safe sweetie
1 10/14/2023 23:12:21 PM	 hi
1 10/15/2023 02:37:15 AM	 i’m bored 
1 10/15/2023 02:37:18 AM	 wake up
0 10/15/2023 04:04:23 AM	 Hi mateo
1 10/15/2023 14:35:15 PM	 i can’t get chatbanned here 😼
1 10/15/2023 14:35:22 PM	 stupid ass hoe 
0 10/15/2023 14:37:20 PM	 Slit ur wrists
1 10/15/2023 14:56:19 PM	 slit them yourself 
0 10/15/2023 14:57:38 PM	 GO JUMP IN A HOLE AND NEVER COME OUT YOY FUCKING CHILD PREDATOR ONLINE GROOMING ASS NIGGA
0 10/15/2023 14:57:49 PM	 I AM DONE WITH U AND UR BEHAVIOR
1 10/15/2023 14:57:53 PM	 IM NOT A CHILD PREDATOR??????
0 10/15/2023 14:58:00 PM	 YES THE RUCK U ARE
1 10/15/2023 14:58:03 PM	 who tf have i groomed 
1 10/15/2023 14:58:07 PM	 you’re insane 
0 10/15/2023 14:58:08 PM	 YOU ATE THE REASON IM IN A SAD MOOD TODAY
1 10/15/2023 14:58:13 PM	 ?????
1 10/15/2023 14:58:15 PM	 no bitch 
1 10/15/2023 14:58:19 PM	 you woke up grumpy 
1 10/15/2023 14:58:26 PM	 probably on your period or something 
1 10/15/2023 14:58:28 PM	 KYS 
0 10/15/2023 14:58:32 PM	 I’m not grumpy 
0 10/15/2023 14:58:39 PM	 I HOOE YOU GET RAN OVER AND DIE
0 10/15/2023 14:58:43 PM	 WTF
0 10/15/2023 14:58:46 PM	 ARE YOY SERIOUS
0 10/15/2023 14:58:58 PM	 I’m blocking you I need a break
1 10/15/2023 14:59:00 PM	 hahaaahah 😂😂😂😂😭😭
1 10/15/2023 14:59:08 PM	 chill it’s not that deep
0 10/15/2023 14:59:14 PM	 There’s nothing funny
0 10/15/2023 14:59:20 PM	 You are so annoying
1 10/15/2023 14:59:23 PM	 then why am i laughing my ass off 
0 10/15/2023 14:59:56 PM	 You are the most immature person I have ever been around
0 10/15/2023 15:00:03 PM	 Please seek psychiatric evaluation
1 10/15/2023 15:00:51 PM	 i like you i’m having a fun time talking to you
0 10/15/2023 15:01:10 PM	 I’m not
0 10/15/2023 15:01:20 PM	 U make me this way on purpose
0 10/15/2023 15:01:44 PM	 WTF??????????
0 10/15/2023 15:01:51 PM	 U are a joke
0 10/15/2023 15:03:12 PM	 LEAVE NE ALONE WTF
0 10/15/2023 15:03:21 PM	 INDONT WANNA CALL YOUR ASS
1 10/15/2023 15:04:00 PM	 are you ok
1 10/15/2023 15:04:06 PM	 you seem a bit upset 
0 10/15/2023 15:05:02 PM	 Idk
0 10/15/2023 15:05:10 PM	 I’m okau 
1 10/15/2023 15:05:40 PM	 good to hear 
1 10/15/2023 15:05:46 PM	 what are you doing later today?
0 10/15/2023 15:05:55 PM	 Sleeping
0 10/15/2023 15:06:01 PM	 Don’t make conversation with me hoe
1 10/15/2023 15:06:09 PM	 ofc you are why did i even bother asking 💀
0 10/15/2023 15:06:20 PM	 Kill urself
0 10/15/2023 15:06:26 PM	 I don’t know why I talk to u
1 10/15/2023 15:06:36 PM	 don’t you like me as a friend 
0 10/15/2023 15:06:40 PM	 U are the weirfest person
1 10/15/2023 15:06:50 PM	 i feel like i contribute a lot of value to your life 
0 10/15/2023 15:06:59 PM	 Maybe I’m just in a bad mood today
1 10/15/2023 15:07:00 PM	 ???? look who’s talking 
1 10/15/2023 15:07:06 PM	 yeah….
0 10/15/2023 15:07:20 PM	 DONT AGREE WITH ME HOE
1 10/15/2023 15:07:43 PM	 you can’t just switch up on me bro 😭\nwe’re like besties at this point 
0 10/15/2023 15:08:01 PM	 Why am I like this today
1 10/15/2023 15:08:08 PM	 i don’t know 
0 10/15/2023 15:08:09 PM	 What did u do
1 10/15/2023 15:08:18 PM	 maybe uhhh i haven’t sent you enough dog reels 
1 10/15/2023 15:08:25 PM	 chinese dogs 
0 10/15/2023 15:08:47 PM	 If you send me a Chinese dog reel just know I will be ignoring you until tomorrow
1 10/15/2023 15:10:24 PM	 what about chihuahuas 
0 10/15/2023 15:11:04 PM	 maybe…
1 10/15/2023 16:04:32 PM	 82% masochist …
1 10/15/2023 16:04:42 PM	 i’d lk fuck ts outa you 
0 10/15/2023 16:04:52 PM	 Photoshopped
1 10/15/2023 16:06:50 PM	 no but like lk you couldn’t stop me…
1 10/15/2023 16:07:02 PM	 52% brat 😭
0 10/15/2023 16:07:07 PM	 ???
0 10/15/2023 16:07:11 PM	 What are you implying
0 10/15/2023 16:08:09 PM	 I don’t wanna open that…
1 10/15/2023 16:08:16 PM	 do it 
0 10/15/2023 16:08:18 PM	 82% sadist headass
0 10/15/2023 16:08:22 PM	 Yuck!
1 10/15/2023 16:10:08 PM	 i’m like 63% brat tamer and you’re 52% brat 
1 10/15/2023 16:10:13 PM	 we’re like made for each other 
0 10/15/2023 16:10:25 PM	 Cute
1 10/15/2023 16:29:11 PM	 Error
1 10/15/2023 18:15:27 PM	 pick up yo damn phone 
1 10/16/2023 15:58:38 PM	 dumbass hoe 
1 10/16/2023 15:58:44 PM	 kys 
0 10/16/2023 16:02:01 PM	 I hope you’re doing okay mateo 
1 10/16/2023 16:02:17 PM	 no stop 
1 10/16/2023 16:02:19 PM	 be mean 
0 10/16/2023 16:02:31 PM	 I don’t wanna be mean anymore
1 10/16/2023 16:05:20 PM	 why
0 10/16/2023 16:07:53 PM	 I’m in a weird mood
1 10/19/2023 09:03:01 AM	 hello?
1 10/19/2023 09:03:08 AM	 Adri 
1 10/19/2023 09:03:14 AM	 are you alive
0 10/19/2023 12:23:53 PM	 Hi
0 10/21/2023 14:21:28 PM	 Hi
0 10/21/2023 14:28:19 PM	 The fuck
0 10/21/2023 14:57:15 PM	 Right
1 10/22/2023 18:26:18 PM	 dumbass how 
1 10/22/2023 18:26:21 PM	 hoe 
1 10/22/2023 18:26:25 PM	 if i get banned 
1 10/22/2023 18:26:29 PM	 you’re done for 
1 10/24/2023 15:28:06 PM	 i would’ve thought you were failing most stuff 
